id,name,title,content,open_hour,regular_holiday,telephone,address,nearest_station,capacity,private_room,wifi,power_supply,genre_id,area_id
18,cafe pike(カフェ ピケ),ゆったり落ちつける雰囲気,ゆったり落ちつける雰囲気の、チーズケーキが人気のカフェ,11:00～18:00,日曜日、月曜日、他不定休,072-683-9618,大阪府高槻市北園町１３−２３,阪急高槻市駅,席,無,無,無,1,7
19,6+E UNITED cafe(ユナイテッドカフェ),リーズナブルな価格で食べられる体に優しいナチュラル系のカフェ,体に優しいナチュラル系のカフェです。店内はとてもおしゃれで女子会や飲み会などに利用できます。月替わりのランチを食べることができ、スープやサラダなどがついてとてもリーズナブルな価格で食べることができます。,11：00～17：00,水曜日・木曜日,070-5431-1440,大阪府高槻市芥川町１丁目１５−１５,JR高槻駅,18席,無,無,無,1,7
20,京橋 TERRE-á-S,喧騒を忘れるお洒落な隠れ家レストラン BBQや女子会、各種パーティご予約受付中！,公園前カフェレストラン 開放感たっぷりのテラス席(ルーフ付、雨でも大丈夫)＆店内は窓が大きくオープンエア！！席間隔をとったゆったりとした店内でお出迎え！ ※テーブルにアルコール設置、スタッフはマスク着用。 忘新年会、ご予約受付中！お得な特典も！！ ご自宅＆会社でのパーティテイクアウトメニューもスタート♪デリバリーもできますよ！ 【京橋駅徒歩5分】 京橋から北詰方向へまっすぐ 緑いっぱいの公演前に佇む、おしゃれな一軒家レストランです ご家族やご友人、恋人と、喧騒を離れ、落ち着いた雰囲気でゆったり♪ テラス席ではワンちゃんともご一緒に、憩いのひと時をお楽しみいただけます,11:30～23:00,月曜日,050-5457-3033,大阪府大阪市都島区東野田町１丁目３−１２,京橋駅,100席,有,有,有,1,8
21,River country garden LOGIC kyobashi,森の中にあるナポリピッツァが美味しいイタリアン,石窯焼きのナポリピッツァが楽しめる森の中のイタリアンLOGIC!! 500℃の窯で焼き上げる本格ナポリピッツァは外はカリッ！中はもちっとした食感で美味しいですよ！ 店内は天井が高く開放感のある空間に加え、目の前にある庭園が一望でき、 森の中にお店があるように感じてしまうほど そんな開放的な空間で、ランチ＆カフェタイムは、 パティシエ特製の自家製タルトをお楽しみください。,11:00~23:00,無休,050-5594-6466,大阪府大阪市城東区新喜多１丁目２−７,京橋駅,78席,有,無,有,1,8
22,カフェ エデン 江坂店,グリーンに囲まれたナチュラルなお洒落カフェ,大阪、江坂にあるカフェ「エデン」。外観も内観もお洒落で可愛く、落ち着く雰囲気。ハンバーグやパスタ、ピザとメニューも充実。ランチセットについてくるおにぎりはお米の固さはもちろん、握り方が絶妙で定評がある。,11:00～23:00,無休,定休日,大阪府吹田市江の木町５−２６,江坂駅,45席,無,無,無,1,9
23,ヒロコーヒー 江坂店,リーズナブルなモーニングも嬉しいコーヒー専門店,北大阪急行電鉄、大阪市営地下鉄御堂筋線の江坂駅から徒歩約4分の場所にあるコーヒー専門店の「ヒロコーヒー本店」。,8：00～19:00,無休,06-6380-1055,大阪府吹田市江坂町１丁目２３−１９ 米澤第五江坂ビルB-1,江坂駅,42席,無,無,無,1,9
24,MOTO COFFEE(モトコーヒー),大阪北浜の土佐堀川沿いにある、テラスからの眺めが最高なお洒落なカフェ,大阪市の京阪本線北浜駅にあるカフェ「モトコーヒー」。土佐堀川にかかる橋のたもとの築40年のビルを改装し、開放的な川床テラスがありリバーヴューを満喫できる癒しのカフェです。名古屋のコーヒーカジタから仕入れる深煎りコーヒーや吹田の自然派ベーカリーミル・ヴィラージュのパンなどを取り扱っていて話題性も十分です。,12:00～19:00,不定休,06-4706-3788,大阪府大阪市中央区北浜２丁目１−１ ライオンビル,北浜駅,20席,無,無,無,1,10
25,SYNTH（シンス）ビジネスセンター堂島,,,9:00-18:00,土日祝,06-6123-7045,大阪府大阪市北区堂島浜２丁目２−２８ 堂島アクシスビル 4階,渡辺橋駅,170席,有,有,有,2,1
26,リージャス阪急グランドビル,効率的に、経済的に、オフィスを使う。,"コワーキングとは、専用の個室スペースではなく、共有型のオープンスペースをデスク単位でご契約いただくオフィススペースのことです。個室のオフィスは必要がない。ワークスペースは確保したい。そのようなお客様のニーズにお勧めのサービスです。
またコワーキングサービスの特徴や利点としては、単純にスペースをシェアするシェアオフィスという発想から、オープンな環境であるところからビジネスコミュニテイの形成の機会が増えるということがあります。
オープンで創造的な環境をご希望される方にとっても、お勧めのサービスです。",,,,大阪府大阪市北区角田町８−４７ 阪急グランドビル 20階,梅田駅,,,有,有,2,1
27,WeWork LINKS UMEDA,新時代の働き方をすべての人へ。,オフィス機能を完備した環境で仕事ができるので、生産性が上がります。外出先でも利用できるので、利便性も抜群です。,9:00-18:00,土日祝,050-1744-1744,大阪府大阪市北区大深町１−１,JR大阪駅,,有,有,有,2,1
28,WeWork なんばスカイオ,新時代の働き方をすべての人へ。,オフィス機能を完備した環境で仕事ができるので、生産性が上がります。外出先でも利用できるので、利便性も抜群です。,9:00-18:00,土日祝,050-1744-1744,大阪府大阪市中央区難波１丁目-60,,,有,有,有,2,2
29,フレッシュイン新大阪,ＪＲ新大阪駅前の明るく開放的なレンタルスペースです。,"ＪＲ新大阪駅前の明るく開放的なレンタルスペースです。
　４～８名収容できるミーティングスペースが3スペースあります。

　フレッシュイン新大阪は新大阪駅前のよろずやを目指します。
　みなさまのお越しを心よりお待ちしています！",10:00〜18:00,無休,06-6323-6000,大阪府大阪市東淀川区西淡路東淀川区３ 1丁目3-32 DAREMOビル4階,新大阪駅,3席,無,無,有,2,4
30,Crossing（クロッシング）,1日利用のドロップインの方から、1ヶ月定額のマンスリー会員様のプランがあります。,新大阪駅から徒歩5分のコワーキングスペース「Crossing（クロッシング）」シェアハウスが併設するコワーキングスペースで、「はたらく」と「くらす」をシェアして、新たな交流が生まれるコワーキングスペースです,10:00~19:00,無休,06-6836-9915,大阪府大阪市淀川区宮原１丁目１９−１０,新大阪駅,,無,有,有,2,4
31,The DECK,大阪に新しいモノづくりの場所ができました。,"The DECK［ザ・デッキ］はどなたでも利用できるドロップイン型のスペースです。

はなす
デスクワークやミーティング、会議室をご利用いただけます。
つくる
3Dプリンタやレーザーカッターなどファブ機器を使ったプロトタイプ製作などができます。

おもしろい
ハッカソンや勉強会アートイベントなど、イベントスペースとして利用できます。",10:00〜18:00,無休,06-6125-5627,大阪府大阪市中央区南本町２丁目１−１,堺筋本町駅,,有,有,有,2,5
32,billage OSAKA 野村不動産御堂筋本町ビル,低コストで充実した空間,"フリーアドレスのオープンスペースを
気軽にご利用いただけるプランです。
billageのオープンスペースにあるお好きな席をご利用いただけるプランです。
お仕事に必要な環境・設備はもちろん、会員同士のコミュニケーションを楽しめる機会も提供します。",9:00～21:00,無休,06-7166-2875,大阪府大阪市中央区本町４丁目２−１２ 東芝大阪ビル 8F 旧：,本町駅,100席,有,有,有,2,5
33,リージャス大阪国際ビルデイング,効率的に、経済的に、オフィスを使う。,"コワーキングとは、専用の個室スペースではなく、共有型のオープンスペースをデスク単位でご契約いただくオフィススペースのことです。個室のオフィスは必要がない。ワークスペースは確保したい。そのようなお客様のニーズにお勧めのサービスです。
またコワーキングサービスの特徴や利点としては、単純にスペースをシェアするシェアオフィスという発想から、オープンな環境であるところからビジネスコミュニテイの形成の機会が増えるということがあります。
オープンで創造的な環境をご希望される方にとっても、お勧めのサービスです。",,,06-4964-2045,"31/F Osaka Kokusai Building 2-3-13 Azuchi-cho, ３ 中央区 大阪市 大阪府 541-0052",堺筋本町駅,,,有,有,2,5
34,コワーキングスペースLR,アクセス抜群！堺東駅徒歩1分、貸切・ドロップインＯＫ！,"利用者同士の交流がうまれるのが、共に働く場所という意味をもつコワーキングスペースの特徴です。
1日数時間でも、朝から夕方まで利用してもＯＫ．

レンタルオフィスよりも格安で利用できるので、
自宅やカフェで仕事をするようにお気軽にご利用ください。",100席,土日祝,090-6242-2770,大阪府堺市堺区中瓦町２丁３−２０ センチュリー２１リブライフ 3F,堺東駅,100席,無,有,有,2,6
35,PLUSONE(プラスワン コワーキングスペース),江坂駅より徒歩1分、江坂でコワーキングスペースならPLUSONE,"カフェの様なお洒落で落ち着く空間で、快適に過ごすお仕事の時間をPLUSONEがお約束します。
毎日利用も出来、あなたのオフィスとしてご自由にお使い下さい。",8:00~23:00,無休,06-6105-8110,大阪府吹田市豊津町９−２２ 大同門本部ビル 6階,江坂駅,,有,有,有,2,9
36,THE HUB 大阪江坂 アセットデザイン,家より会社より居心地がいい。,"THE HUB は、ワーカーのニーズや働きやすさの検証から創られた「協働リビング」のような存在。
その日、その時々のシーンから新しい発見や知見を楽しみましょう。

オフィスのご利用は、起業やSOHOに最適な登記もできるバーチャルオフィスが月5,500円、フリーランスやリモートワークの方に、
サイレントブースとビジネスラウンジが使いたいときに使えるコワーキングスペース会員を月7,000円、
専用オフィスは、個室・家具付き、ビジネスラウンジも使えて月2万円台より揃えています。

充実した共用施設やフロントサービスを備え、同水準オフィスでは最高のコストパフォーマンスを実現しています。",10:00~18:30,土日祝,03-5213-0477,大阪府吹田市豊津町１−１８ エクラート江坂ビル 3F,江坂駅,20席,有,有,有,2,9
37,THE LINKS KITAHAMA｜コワーキングスペース,デザイン性と機能性を兼ね備えた、上質でスタイリッシュなワークプレイス。,"出会う、つながる、高め合う
デザイン性と機能性を兼ね備えた、上質でスタイリッシュなワークプレイス。
ホスピタリティと笑顔に溢れるコミュニケータースタッフ。
そして、メンバー同士が育む創造的で知的好奇心を満たす共創コミュニティ。

ここに来れば誰かと出会える、
ここにいれば未来とつながる、
ここにいる仲間と高め合う

「人は人との出会いによってのみ磨かれる」",9:00~22:00,日祝,06-6226-0002,大阪府大阪市中央区今橋２丁目３−１６,北浜駅,,有,有,有,2,10
38,カラオケ ビッグエコー 梅田ＤＤハウス店,"「新しい、働き方。」
ビッグエコーでテレワークをはじめよう！","ビッグエコーの「テレワークプラン」はソフトドリンク飲放題付きです。
PC作業はもちろん、電話や商談、会議にプレゼンテーションまでどんな用途でも活用できます。",12:00~5:00,無,06-6371-5252,大阪府大阪市北区芝田１丁目８−１ D.D.HOUSE 2F,阪急大阪梅田駅,100人,有,有,有,3,1
39,カラオケ ビッグエコー西梅田店,"「新しい、働き方。」
ビッグエコーでテレワークをはじめよう！","ビッグエコーの「テレワークプラン」はソフトドリンク飲放題付きです。
PC作業はもちろん、電話や商談、会議にプレゼンテーションまでどんな用途でも活用できます。",12:00~5:00,無,06-6341-4569,大阪府大阪市北区梅田２丁目１−２１ ＬＥＩ’Ｓ ＵＭＥＤＡ 6F,梅田駅,40人,有,有,有,3,1
40,カラオケ館 なんば戎橋本店,グリコの看板から歩いて3分！,"グリコの看板から歩いて3分！
ミナミ最大のカラオケボックス。
最大51名収容のパーティールームや
音質重視のスタジオルーム、全ルーム
色々な演出をご用意して
お待ちしております。",11:00~6:00,無,06-4708-1061,大阪府大阪市中央区難波１丁目５−１６ 大阪B&Vビル,大阪難波駅,51名,有,有,有,3,2
41,ジャンカラ心斎橋店,西日本最大規模を誇るカラオケチェーン,"全店全室禁煙
タバコを吸われる方に、喫煙スペースを設置しています。",10:00〜5:00,無,080-6202-7435,大阪府大阪市中央区中央区心斎橋筋１丁目３−１１,心斎橋駅,52室,有,有,有,3,2
42,ジャンカラ 天王寺店,西日本最大規模を誇るカラオケチェーン,"全店全室禁煙
タバコを吸われる方に、喫煙スペースを設置しています。",10:00〜5:00,無,080-6202-7543,大阪府大阪市天王寺区悲田院町９−２２ 1〜5F 宝ビル,天王寺駅,67室,有,有,有,3,3
43,カラオケ歌居屋,新世界の激安カラオケ,未記入,15:00~24:00,無,06-6643-0666,大阪府大阪市浪速区恵美須東２丁目１−１９,恵美須町駅,14室,有,無,有,3,3
44,コンシェルジュ 新大阪店,新大阪のカラオケ店,"学校帰り、会社帰り、いつでもどうぞ☆
小～大人数まで対応のお部屋充実しており、
各種宴会・パーティーも承ります☆
飲んで歌って食べて1次会でも2次会でも
大満足すること間違いなしです☆

皆様のご来店をお待ちしております♪",12:00~6:00,無,06-6392-6670,大阪府大阪市淀川区西宮原２丁目７−１４,新大阪駅,,有,有,有,3,4
45,On&On,◆お仕事帰りになどに◆,未記入,19:00~3:00,日祝,06-6533-5300,大阪府大阪市西区新町１丁目１２−１９,本町駅,,有,無,有,3,5
46,カラオケ ビッグエコー大阪本町店,"「新しい、働き方。」
ビッグエコーでテレワークをはじめよう！","ビッグエコーの「テレワークプラン」はソフトドリンク飲放題付きです。
PC作業はもちろん、電話や商談、会議にプレゼンテーションまでどんな用途でも活用できます。",18:00~1:00,日祝,06-4964-1777,大阪府大阪市中央区安土町３丁目４−５,本町駅,25人,有,有,有,3,5
47,カラオケレインボー浜寺石津店,石津川駅近くにあるカラオケ店,未記入,12:00~23:00,木曜日,072-241-9777,大阪府堺市西区浜寺石津町西４丁２−２１,石津川駅,,有,無,有,3,6
48,カラオケ304 堺東店,堺東駅すぐにあるカラオケ店,未記入,24時間営業,無,072-221-6220,大阪府堺市堺区堺区中瓦町２丁３−２９,,,有,無,有,3,6
49,ジャンカラ 高槻2号店,西日本最大規模を誇るカラオケチェーン,"全店全室禁煙
タバコを吸われる方に、喫煙スペースを設置しています。",10:00〜5:00,無,080-6202-7509,大阪府高槻市城北町２丁目５−１３,,45室,有,有,有,3,7
50,ビッグエコーJR京橋駅前店,"「新しい、働き方。」
ビッグエコーでテレワークをはじめよう！","ビッグエコーの「テレワークプラン」はソフトドリンク飲放題付きです。
PC作業はもちろん、電話や商談、会議にプレゼンテーションまでどんな用途でも活用できます。",11:00~5:00,無,06-4801-2233,大阪府大阪市都島区東野田町３丁目１０−１ 第2晃進ビル,京橋駅,30人,有,有,有,3,8
51,カラオケ ビッグエコー 江坂駅前店,"「新しい、働き方。」
ビッグエコーでテレワークをはじめよう！","ビッグエコーの「テレワークプラン」はソフトドリンク飲放題付きです。
PC作業はもちろん、電話や商談、会議にプレゼンテーションまでどんな用途でも活用できます。",12:00~5:00,無,06-6192-8800,大阪府吹田市江の木町１−３９ SERE江坂 ４Ｆ,江坂駅,25人,有,有,有,3,9
52,アプレシオ 大阪梅田店,aprecio = スペイン語で【敬う】の意,私たちは、お客様の「ここちいい」を探求し、,24時間営業,無,06-6364-5855,大阪府大阪市北区小松原町４−３２ ４~６Ｆ 東通りビル,梅田駅,,有,有,有,4,1
53,快活CLUB なんば心斎橋店,"極上のリラックスを、
もっと手軽に。","快活CLUBは、AOKIグループが運営するシェアリングスペース業態です。
テレワーク・シェアオフィスとしてもご利用くださいませ。
コミック・インターネット・カラオケ・鍵付完全個室などコンテンツが豊富。
ドリンクバー無料、ソフトクリーム食べ放題、無料モーニング食べ放題等もご用意しています。
快活CLUBは、バリ島の高級ホテルをイメージした、バリニーズ・モダンで癒しの空間。
好きな時に訪れ、居たいだけ居て、過ごした分だけの料金を支払う。
コミック＆インターネット、ゲーム・映画・アニメ、カラオケやダーツ・ビリヤードにVRまで、
AOKIグループが運営する、安心で清潔なあなただけの空間で、きっと自分なりの過ごし方が見つかるはず。
滞在している間は、ドリンクやソフトクリームが無料で飲み放題・食べ放題。朝はお食事の無料サービスもあります。
一度来店したら、やみつきになる、快活CLUBで、ぜひ、思い思いのお時間をお過ごしくださいませ。",24時間営業,無,06-6121-7988,大阪府大阪市中央区心斎橋筋１丁目３−３１ 受付1F)1～5F,心斎橋駅,,有,有,有,4,2
54,なんば ネットカフェ アットワン 日本橋駅前店,「ミナミ」「なんば」「道頓堀」「日本橋」　のネットカフェならアットワンなんば日本橋駅前店！,"「ミナミ」「なんば」「道頓堀」「日本橋」　のネットカフェならアットワンなんば日本橋駅前店！
「インターネット」「コミック」「暇つぶし」「待ち合わせ」「終電を過ぎたら」「シャワー」「仕事」と用途は色々！",24時間営業,無,06-6212-3771,大阪府大阪市中央区中央区５ 日本橋1-5-10ジョリービル6F,日本橋駅,70席,有,有,有,4,2
55,キャビNET 大阪心斎橋店,お客様が必要としたものだけに特化し、使いたい時にいつもお客様の身近にある。,全室完全個室、インターネット完備のプライベートルームです。ホテルやインターネットカフェ、レンタルオフィスでもなく、それら全ての持ち味を掛け合わせました。旅行や出張での滞在先替わり、デートや待ち合わせまでの時間調整、終電を逃した方の移動拠点、ビジネスマンや学生のワークスペースなど、使い方はお客様次第です。西日本最大都市である、難波心斎橋を拠点に、大阪の街、そしてキャビＮＥＴで素敵なお時間をごゆっくりとお過ごし下さい。,24時間営業,無,06-6575-7130,大阪府大阪市中央区西心斎橋１丁目５−２７ 福太郎心斎橋ビル4階5階,心斎橋駅,,有,有,有,4,2
56,快活CLUB あべの天王寺駅前店,"極上のリラックスを、
もっと手軽に。","快活CLUBは、AOKIグループが運営するシェアリングスペース業態です。
テレワーク・シェアオフィスとしてもご利用くださいませ。
コミック・インターネット・カラオケ・鍵付完全個室などコンテンツが豊富。
ドリンクバー無料、ソフトクリーム食べ放題、無料モーニング食べ放題等もご用意しています。
快活CLUBは、バリ島の高級ホテルをイメージした、バリニーズ・モダンで癒しの空間。
好きな時に訪れ、居たいだけ居て、過ごした分だけの料金を支払う。
コミック＆インターネット、ゲーム・映画・アニメ、カラオケやダーツ・ビリヤードにVRまで、
AOKIグループが運営する、安心で清潔なあなただけの空間で、きっと自分なりの過ごし方が見つかるはず。
滞在している間は、ドリンクやソフトクリームが無料で飲み放題・食べ放題。朝はお食事の無料サービスもあります。
一度来店したら、やみつきになる、快活CLUBで、ぜひ、思い思いのお時間をお過ごしくださいませ。",24時間営業,無,06-6635-2588,大阪府大阪市阿倍野区阿倍野筋１丁目５−３１,天王寺駅,,有,有,有,4,3
57,ポパイ 天王寺店,天王寺最大のネットカフェ,"天王寺最大のネットカフェ
コミック雑誌は周辺店舗ではNo.1♪
随時リクエストもお伺いしております。

ドリンクはもちろんソフトクリームも食べ放題
VIP会員募集中！！お得な2割引の特典がついてくる♪
天王寺店・新大阪店・上六店・江坂店でのみの超お得な会員システムです。
この機会に是非ご入会下さい。",24時間営業,無,06-6625-7220,大阪府大阪市阿倍野区阿倍野筋２丁目１−２９,天王寺駅,142席,有,有,有,4,3
58,快活CLUB 阪急三国駅前店,"極上のリラックスを、
もっと手軽に。","快活CLUBは、AOKIグループが運営するシェアリングスペース業態です。
テレワーク・シェアオフィスとしてもご利用くださいませ。
コミック・インターネット・カラオケ・鍵付完全個室などコンテンツが豊富。
ドリンクバー無料、ソフトクリーム食べ放題、無料モーニング食べ放題等もご用意しています。
快活CLUBは、バリ島の高級ホテルをイメージした、バリニーズ・モダンで癒しの空間。
好きな時に訪れ、居たいだけ居て、過ごした分だけの料金を支払う。
コミック＆インターネット、ゲーム・映画・アニメ、カラオケやダーツ・ビリヤードにVRまで、
AOKIグループが運営する、安心で清潔なあなただけの空間で、きっと自分なりの過ごし方が見つかるはず。
滞在している間は、ドリンクやソフトクリームが無料で飲み放題・食べ放題。朝はお食事の無料サービスもあります。
一度来店したら、やみつきになる、快活CLUBで、ぜひ、思い思いのお時間をお過ごしくださいませ。",24時間営業,無,06-6399-0988,大阪府大阪市淀川区西三国４丁目８−１９ 三国ビルディング地下1F,三国駅,,有,有,有,4,4
59,Media Cafe POPEYE 新大阪店,駅から近い,"ＪＲ新大阪駅、中央口から出て徒歩役3分ほどの立地で駅から近い
全面禁煙で快適空間の大型店舗です。（喫煙所設置店）
女性専用エリアもございますので安心してご利用頂けます。
店内には大阪最大級のコミック・雑誌も読み放題！
ＰＣも設置でプリンターの利用もＯＫ！急な印刷物も当店で可能です。
日中はサウンドエリア開放でテレワークにも最適です。
会員登録は無料！またご利用料金が2割引になるＶＩＰ会員の受付も実施中！
シャワールーム完備！日焼けマシンもご利用いただけます。
電車利用のために空いた時間を使ってちょっと休憩していきませんか？",24時間営業,無,06-6305-9599,大阪府大阪市淀川区西中島５丁目４−２０ 新大阪中央ビル1F,新大阪駅,,有,有,有,4,4
60,自遊空間 堺山本町店,遊びと癒しの自由な空間,インターネットにマンガにテレビ、オンラインゲームやビリヤードにダーツにカラオケ、卓球などなど使い放題！　お食事メニューもご用意しております。（※別料金） ちょっと時間が空いた時、休日の家族の団らんに、カップルでデートに、自遊空間であなたの時間を活用して下さい。あなたの遊びがきっと見つかる自由気ままな快適空間。それがスペースクリエイト自遊空間です。,24時間営業,無,072-226-0445,大阪府堺市堺区山本町３丁８５−１,七道駅,,有,有,有,4,6
61,快活CLUB 堺百舌鳥店,"極上のリラックスを、
もっと手軽に。","快活CLUBは、AOKIグループが運営するシェアリングスペース業態です。
テレワーク・シェアオフィスとしてもご利用くださいませ。
コミック・インターネット・カラオケ・鍵付完全個室などコンテンツが豊富。
ドリンクバー無料、ソフトクリーム食べ放題、無料モーニング食べ放題等もご用意しています。
快活CLUBは、バリ島の高級ホテルをイメージした、バリニーズ・モダンで癒しの空間。
好きな時に訪れ、居たいだけ居て、過ごした分だけの料金を支払う。
コミック＆インターネット、ゲーム・映画・アニメ、カラオケやダーツ・ビリヤードにVRまで、
AOKIグループが運営する、安心で清潔なあなただけの空間で、きっと自分なりの過ごし方が見つかるはず。
滞在している間は、ドリンクやソフトクリームが無料で飲み放題・食べ放題。朝はお食事の無料サービスもあります。
一度来店したら、やみつきになる、快活CLUBで、ぜひ、思い思いのお時間をお過ごしくださいませ。",24時間営業,無,072-254-8588,大阪府堺市北区百舌鳥西之町３−５３０,白鷲,,有,有,有,4,6
